State,COPD_Predicted_Rate,Heart_Failure_Predicted_Rate,COPD_Expected_Rate,Heart_Failure_Expected_Rate,COPD_Excess_Ratio,Heart_Failure_Excess_Ratio
AK,18.730868513853906,18.664526609775017,18.658265743073045,19.087870752521333,1.0038911853749224,0.9778213008546071
AL,17.872372689882095,19.633992204365555,17.901634932821498,19.63468530422963,0.9983653871252981,0.9999647002305697
AR,18.326514248328003,19.597350272672188,18.129895405641175,19.35750736214906,1.0108450070057022,1.0123901753483047
AZ,16.737890599853692,19.168292248783278,16.955757461594732,19.116684483252218,0.9871508623407409,1.0026996190461934
CA,19.645774195978007,20.095833916116007,19.21077173307223,19.74424966348507,1.022643674546239,1.0178069189066807
CO,17.65125072463768,17.59589829059829,18.073222266139656,18.82970558947226,0.9766521135363592,0.9344754864588114
CT,18.51091851851852,19.823881643766754,18.342643425076453,19.335564502345846,1.0091739826993538,1.0252548686314105
DC,22.357205263157894,19.649237509727627,21.272566842105263,20.571870894941632,1.0509876607324031,0.9551507303382469
DE,17.95042172774869,18.14399198837692,18.292941492146596,18.91412108758821,0.9812758508769651,0.9592828503293943
FL,18.842650522253667,20.795498042361533,18.60152636480576,20.215305270904786,1.0129626006338983,1.0287006683145072
GA,18.697652447670492,19.708999422993323,18.519659047940582,19.71548486345493,1.0096110516543069,0.9996710483913268
HI,15.020907386363637,17.669617853290184,14.970922727272727,18.445410355987057,1.0033387827859035,0.9579411632636806
IA,17.558761235675135,18.21376636476848,17.619388689586447,18.90325679836975,0.9965590489557027,0.9635253098999993
ID,16.28295863453815,16.087939764705883,17.338577108433736,18.78692639215686,0.9391173527508139,0.8563369775815086
IL,19.188669577862722,20.353622339902007,18.92005048196776,20.018633237049873,1.0141975887512023,1.0167338648390913
IN,19.172328740955138,20.081642939380725,18.85825917510854,19.95680162232883,1.0166542183416987,1.006255577392332
KS,18.58931253333333,18.84608176562688,18.4985346,19.78741729495363,1.0049073040268461,0.9524275697381276
KY,19.685733946587536,19.847235439234048,19.172885677546983,20.335459081696836,1.0267486218645292,0.9759915111578563
LA,17.842263446177252,19.631541884231538,18.331664967668317,19.599558690618764,0.9733029420756802,1.0016318323344742
MA,19.459273354987424,20.120333329285693,18.512533549874266,19.392627306396285,1.0511404774804358,1.0375248805327881
MD,19.575929380380746,19.320337943544377,19.829241033102946,20.073967836199184,0.987225348045378,0.9624573527862392
ME,19.245690909090907,17.594591637831602,19.210980213903746,19.36601435986159,1.0018068154149697,0.9085293086582917
MI,20.00892087937385,20.64041844592578,19.688693197513814,20.389865472755613,1.0162645473037526,1.0122881131072172
MN,18.84358835149864,18.086387220149252,18.763404427792917,19.26131791977612,1.0042734208503736,0.9390005032614859
MO,19.101368626421696,19.760945617561493,18.8500134208224,19.96734106321079,1.0133344841718595,0.9896633485151625
MS,18.468616,20.090515870153293,18.503427344827585,19.6929355675784,0.9981186542266551,1.0201889810287834
MT,17.592851559934317,17.098452831652445,17.96512807881773,18.696606826997673,0.9792778255044918,0.9145217091992589
NC,18.448944261279127,19.362641149533655,18.488221393158156,19.526128543048586,0.9978755591982708,0.9916272499612765
ND,19.61354328358209,18.66305762523191,19.84499432835821,20.290270204081633,0.9883370566427735,0.9198033065857157
NE,18.445059980988592,17.86615759688333,18.36980941064639,18.91567106827968,1.0040964262970846,0.9445161914896949
NH,16.62200248138958,18.744862560603337,16.942213151364765,19.037307092835338,0.9810998322878856,0.9846383456018283
NJ,19.257780560339878,19.993699304140677,18.654385922608796,19.711306485283515,1.032345993067495,1.0143264384361328
NM,17.04365994108984,17.450311322081575,17.42242562592047,18.46260404360056,0.978259876496926,0.9451706422816416
NV,18.114966936416184,20.433876569525395,17.87172838150289,19.986100416319733,1.0136102423739297,1.0224043782367884
NY,19.56740129022465,19.991038386328327,19.08017012750455,19.982571018125324,1.0255359967685898,1.000423737675964
OH,18.904025763874454,19.93504060127955,18.767284379546872,19.94148516861852,1.0072861572064526,0.9996768261097668
OK,19.579539931740616,19.57627249294107,19.2385385665529,19.94232518444303,1.017724910029318,0.9816444327270565
OR,18.195395544554454,17.623656452967527,18.865323886138615,18.957845632698767,0.9644889032583006,0.9296233756946511
PA,19.180460867387822,19.561300339753398,18.513307421875,19.586329522545224,1.0360364266800068,0.9987221095834717
RI,20.3756415007657,18.874611594202896,18.55872741194487,19.326840875480627,1.0979007907434115,0.9766009724925371
SC,17.786226335570472,19.47608942799089,17.80407079194631,19.249928785173328,0.9989977316657318,1.0117486482854812
SD,17.041395,16.82262034860154,17.76762,19.12192707742197,0.9591264896480227,0.8797554911954814
TN,18.75453750245435,19.58775166779138,18.47225222854899,19.743135042899837,1.0152815839894762,0.9921297516949145
TX,18.642262029952793,20.005342401491042,18.51418497476803,19.931877973730945,1.0069177798190585,1.0036857755128201
UT,16.830002870813395,15.951942966997757,17.816638277511963,18.56385414931112,0.9446228075504068,0.8593012441648445
VA,18.26410869696058,19.39468668158568,18.397963105627447,19.548815326086956,0.9927244984730986,0.9921157041012301
VT,19.546497128378377,20.1765677589852,19.696572297297298,18.94006675475687,0.9923806453907965,1.0652849337987564
WA,18.78552133439872,17.582803544392934,18.222013823411906,18.788200727656825,1.0309245463453007,0.9358428621911885
WI,18.511192981530346,18.954906702017972,18.889766332453824,19.560812350861685,0.9799588123928741,0.9690245150367172
WV,20.652441064780344,21.56964039649009,20.179358265078182,20.833738852778684,1.023443897149141,1.0353225865463538
WY,15.69666243902439,16.564305487804877,17.127945609756097,18.252962042682928,0.9164357942661584,0.9074858890886159
