State,HeartDisease_Rate,COPD_Rate,Diabetes_Rate,PredictedRate,ExpectedRate,Excess_Readmission_Ratio,Number of Discharges,Total_Discharges,Weighted_Avg_Covered_Charges,Weighted_Avg_Total_Payment,Weighted_Avg_Medicare_Payment
AK,112.9,5.0,20.6,18.69769756181446,18.87306824779719,0.9908562431147647,1686.0,768,82337.06640542448,16435.385416635418,13868.7382812944
AL,10.02,9.4,21.5,18.753182447123827,18.768160118525564,0.9991650436779339,16154.0,6587,42388.66691969124,9199.165781051663,7245.5914680510095
AR,72.8,13.3,5.4,18.961932260500095,18.743701383895118,1.0116175911770036,13341.0,4831,33611.826743891535,8638.456841238129,7248.582074103789
AZ,19.38,2.6,10.5,17.953091424318487,18.036220972423475,0.9949252406934672,16706.0,6609,56103.267665209416,10456.28037525096,8696.659706461704
CA,13.2,3.3,24.4,19.870804056047007,19.47751069827865,1.0202252967264598,78653.0,37528,92480.1465306441,13992.673523774924,12016.404764441388
CO,15.7,2.2,7.6,17.623574507617985,18.451463927805957,0.9555637999975852,8130.0,3173,67728.70658683927,10741.89599745698,8692.037188745415
CT,48.0,5.0,7.1,19.167400081142638,18.83910396371115,1.0172144256653821,14879.0,5531,48413.59826432291,13071.711625369318,10767.786114593402
DC,60.8,8.0,12.9,21.00322138644276,20.922218868523448,1.003069195535325,2950.0,1136,65825.52112701233,15207.790492832835,11551.777288810388
DE,62.3,7.3,18.1,18.047206858062808,18.603531289867405,0.9702793506031797,6346.0,2607,35980.04641359072,11062.146144992328,8830.879555025393
FL,178.4,13.3,10.8,19.8190742823076,19.40841581785527,1.0208316344742028,87374.0,35264,61639.48000792899,9795.838503851908,8041.137137021756
GA,80.6,12.4,12.6,19.203325935331907,19.117571955697755,1.004641050022817,31227.0,13068,50248.91689626997,11083.969543915304,8958.94046525476
HI,43.6,4.6,9.4,16.34526261982691,16.708166541629893,0.9806399730247921,2030.0,920,51935.207608615216,15798.13804348261,12318.154347701955
IA,7389.0,8.1,15.2,17.88626380022181,18.2613227439781,0.980042179427851,10840.0,3834,32906.78090768545,8941.093114221701,7534.688054244027
ID,25.4,6.2,3.1,16.185449199622017,18.0627517502953,0.8977271651661612,2799.0,1114,46184.992818666964,10409.236086230072,8786.364452397398
IL,4579.0,5.6,14.7,19.771145958882364,19.469341859508816,1.0154657267951468,58771.0,22152,43607.14138678079,10904.938786539982,8758.559046588794
IN,34.5,3.3,17.2,19.626985840167933,19.407530398718684,1.0114548978670155,29840.0,11325,39215.168300216246,9416.025077257935,8026.30666667065
KS,28.0,6.4,10.7,18.717697149480106,19.142975947476813,0.9786674368824868,9803.0,3531,53188.782497785614,9561.703766663355,7923.7720192471825
KY,39.8,20.2,18.8,19.766484692910794,19.75417237962191,1.0013700665111926,19364.0,7003,36736.98043690847,8855.921605012281,7304.112951583335
LA,33.2,3.9,15.2,18.736902665204397,18.96561182914354,0.9874673872050772,15154.0,6371,38643.55501490473,9409.158059948046,7420.442944597505
MA,28.4,2.6,17.5,19.78980334213656,18.952580428135278,1.044332679006612,42485.0,17500,27541.75240001354,11827.93199999716,9935.206171411433
MD,165.2,5.2,13.2,19.44813366196256,19.951604434651067,0.9748413504158087,28369.0,12832,16616.89869077563,14892.309616588054,13509.244233207964
ME,51.9,9.3,3.3,18.420141273461255,19.288497286882667,0.9551680620366307,3842.0,1292,34473.23297221207,11530.662538707198,9419.146284878716
MI,36.6,8.0,9.1,20.324669662649814,20.039279335134715,1.014276330205485,38841.0,14655,33824.21323782566,10260.68010917858,8477.425315591327
MN,7291.0,5.2,3.1,18.464987785823944,19.01236117378452,0.9716369620559298,12188.0,5591,39797.81058845983,11324.581291318082,9183.96691112318
MO,141.0,12.4,17.8,19.431157121991596,19.408677242016594,1.001498916343511,24620.0,9708,43350.47919236073,9615.635970333118,8167.973217960302
MS,16.72,11.2,16.1,19.279565935076647,19.098181456202994,1.0091538176277193,12881.0,5148,41118.47649563967,8939.022727281099,7491.286324782265
MT,20.9,6.4,8.4,17.34565219579338,18.330867452907704,0.9468997673518753,3187.0,1145,27356.5196505869,9481.648034963755,8174.94847161703
NC,44.2,7.7,14.9,18.90579270540639,19.00717496810337,0.9947514045797736,37767.0,14627,33437.52040746462,10320.892322427717,8318.347439670766
ND,31.3,6.9,21.8,19.138300454407002,20.067632266219924,0.9540701816142446,3365.0,1293,28750.412219662026,9644.105955149807,8180.901005414694
NE,16.9,0.0,8.8,18.15560878893596,18.642740239463034,0.9743063088933898,5929.0,2295,36545.94248363094,9994.357298508367,8252.089760357385
NH,39.5,7.4,10.0,17.68343252099646,17.98976012210005,0.9828690889448569,6778.0,2294,35684.896687119006,10352.352223204794,8910.205318178945
NJ,23.0,4.6,14.5,19.62573993224028,19.182846203946156,1.0233362157518138,40612.0,17337,89081.81213582357,11947.579800437952,9591.291630605336
NM,51.7,4.8,12.6,17.24698563158571,17.942514834760516,0.9617152593892838,3523.0,1582,45050.16814142035,10662.386851926232,8900.261694070417
NV,32.0,9.5,1.8,19.274421752970788,18.92891439891131,1.018007310305359,7735.0,3380,98366.95000028402,11560.531952662841,9360.534319535238
NY,57.7,8.3,14.4,19.77921983827649,19.531370572814936,1.0129798672222767,61451.0,25953,72007.35733838072,14372.630562949875,11638.437406053357
OH,91.5,7.7,10.7,19.419533182577002,19.354384774082696,1.0034814916581096,46510.0,18369,38781.78931894115,10017.34237031324,7891.704121082617
OK,18.21,16.3,13.3,19.577906212340842,19.590431875497963,0.9996846713781873,14495.0,5698,43332.082134121796,9390.60372061125,7818.139522627501
OR,24.55,0.0,9.8,17.90952599876099,18.91158475941869,0.9470561394764758,7952.0,3123,39181.93435799872,12540.649695866283,10383.44188281665
PA,34518.0,5.9,18.9,19.370880603570612,19.049818472210113,1.0173792681317393,54428.0,21988,53374.078042635985,10661.330362028966,8344.951519005414
RI,31.1,13.4,13.0,19.6251265474843,18.94278414371275,1.0372508816179744,4034.0,1573,33036.30959936681,11245.058487025046,9110.038143653273
SC,79.4,2.9,12.9,18.63115788178068,18.52699978855982,1.0053731899756064,19966.0,7840,43550.988520424486,9907.03061225148,8048.192474485919
SD,153.0,6.3,7.1,16.93200767430077,18.444773538710983,0.919440990421752,2987.0,1268,42350.47791779416,10716.440851673739,8865.65851728817
TN,248.0,10.5,12.4,19.171144585122867,19.107693635724413,1.0037056678421954,25839.0,9382,42191.243338322216,9684.659454290546,7619.588254108548
TX,230.9,5.0,15.9,19.32380221572192,19.22303147424949,1.0053017776659394,69159.0,26776,61733.00253960602,11301.08242457796,9445.269009553056
UT,16.9,4.4,8.7,16.390972918905575,18.19024621341154,0.9019620258576257,3330.0,1514,38674.57992080185,11403.091809795773,8955.52708056321
VA,47.0,9.3,11.1,18.82939768927313,18.973389215857203,0.9924201012871643,37926.0,14261,37358.0838651204,10279.700792366502,8117.330832341764
VT,169.0,6.6,8.3,19.86153244368179,19.318319526027082,1.0288327895947764,2484.0,773,32754.3648124295,8335.576972831306,6516.746442427943
WA,25.1,3.2,13.2,18.184162439395827,18.505107275534364,0.9833837042682446,19544.0,6667,51152.73391330883,11380.517024128394,9378.934453276286
WI,32.7,6.2,8.3,18.73304984177416,19.225289341657756,0.9744916637147956,15473.0,6203,37691.295502284374,10476.384813777608,8459.438497510171
WV,175.5,14.0,5.0,21.111040730635217,20.506548558928433,1.0293832418477473,8840.0,3285,34885.60152206423,9295.465144587428,7283.19299847105
WY,1041.0,6.5,2.4,16.130483963414633,17.69045382621951,0.9119608416773872,1722.0,828,32469.998792246377,12837.692029038646,11298.12077298768
